AVERAGE of exchange_rate,effective_date - Year-Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from_currency,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
AED,0.27230,0.27230,0.27245,0.27232,0.27229,0.27229,0.27230,0.27229,0.27229,0.27229,0.27229,0.27229,0.27229,0.27229,0.27230,0.27228,0.27228,0.27231,0.27228,0.27229,0.27231,0.27231,0.27230,0.27232,0.27231,0.27230,0.27229,0.27230,0.27230,0.27231,0.27233
AUD,0.66500,0.65287,0.65553,0.65071,0.66259,0.66399,0.66785,0.66538,0.67714,0.67102,0.65320,0.63322,0.62260,0.63015,0.62947,0.62912,0.64391,0.64967,0.65433,0.64988,0.65933,0.65397,0.65102,0.66489,0.67774,0.70573,0.70134,0.70820,0.71850,0.70198,0.69668
BRL,0.20390,0.20153,0.20075,0.19529,0.19481,0.18567,0.18061,0.18013,0.18051,0.17816,0.17178,0.16363,0.16555,0.17342,0.17308,0.17287,0.17645,0.18029,0.18095,0.18358,0.18636,0.18545,0.18720,0.18304,0.18702,0.19218,0.19080,0.19850,0.20033,0.19488,0.19526
CAD,0.74572,0.74132,0.73853,0.73135,0.73166,0.72980,0.72940,0.73179,0.73835,0.72725,0.71557,0.70173,0.69457,0.69930,0.69634,0.71576,0.72164,0.73115,0.73091,0.72487,0.72289,0.71480,0.71198,0.72534,0.72564,0.73274,0.72930,0.72632,0.72880,0.71209,0.70857
CHF,1.16569,1.14098,1.12581,1.09934,1.09989,1.11824,1.12131,1.16569,1.18082,1.16146,1.13550,1.12205,1.09926,1.10640,1.13084,1.20080,1.20639,1.22887,1.25357,1.24157,1.25536,1.25445,1.24484,1.25590,1.26527,1.29440,1.27173,1.26877,1.27740,1.24990,1.23479
CLP,0.00110,0.00104,0.00103,0.00104,0.00109,0.00108,0.00107,0.00107,0.00108,0.00107,0.00103,0.00102,0.00100,0.00104,0.00107,0.00104,0.00106,0.00107,0.00105,0.00104,0.00104,0.00105,0.00107,0.00109,0.00113,0.00116,0.00110,0.00112,0.00111,0.00110,0.00107
CNY,0.14078,0.13963,0.13887,0.13819,0.13837,0.13790,0.13778,0.13995,0.14138,0.14101,0.13884,0.13735,0.13693,0.13774,0.13792,0.13712,0.13851,0.13923,0.13946,0.13940,0.14036,0.14047,0.14076,0.14195,0.14342,0.14471,0.14503,0.14622,0.14705,0.14760,0.14756
DKK,0.14635,0.14479,0.14573,0.14375,0.14490,0.14428,0.14545,0.14767,0.14891,0.14614,0.14251,0.14048,0.13873,0.13961,0.14463,0.15058,0.15123,0.15449,0.15665,0.15609,0.15720,0.15596,0.15484,0.15685,0.15706,0.15833,0.15475,0.15643,0.15631,0.15398,0.15280
EUR,1.09122,1.07931,1.08659,1.07229,1.08096,1.07613,1.08515,1.10178,1.11083,1.09004,1.06280,1.04774,1.03499,1.04140,1.07887,1.12402,1.12815,1.15237,1.16898,1.16499,1.17333,1.16463,1.15629,1.17150,1.17323,1.18271,1.15621,1.16894,1.16798,1.15089,1.14218
GBP,1.27088,1.26316,1.27071,1.25140,1.26328,1.27076,1.28688,1.29442,1.32194,1.30547,1.27497,1.26426,1.23488,1.25291,1.28955,1.31504,1.33664,1.35591,1.35032,1.34543,1.35017,1.33692,1.31478,1.33925,1.35162,1.35859,1.33413,1.34408,1.34910,1.33235,1.33824
HKD,0.12794,0.12785,0.12783,0.12770,0.12803,0.12804,0.12805,0.12827,0.12836,0.12870,0.12854,0.12865,0.12847,0.12849,0.12865,0.12882,0.12819,0.12742,0.12740,0.12778,0.12846,0.12862,0.12858,0.12853,0.12828,0.12795,0.12777,0.12766,0.12767,0.12760,0.12754
