market,business_unit,country,region,employee_id,date,Indicator,Indicator_value,currency,project
EMEA,Marketing,Netherlands,Western Europe,,2024-01-01,Budget,"12,408.65",EUR,Project Aurora
APAC,Retail,Australia,Oceania,,2024-01-01,Other Costs,"2,578.72",AUD,Project Orion
EMEA,Finance,France,Western Europe,,2024-01-01,Budget,"13,377.54",EUR,Project Nova
EMEA,HR,Netherlands,Western Europe,,2024-01-01,Budget,"22,492.73",EUR,Project Aurora
APAC,E-commerce,Australia,Oceania,,2024-01-01,Budget,"4,705.81",AUD,Project Atlas
EMEA,Marketing,France,Western Europe,,2024-01-01,Budget,"8,151.56",EUR,Project Falcon
AMER,Retail,United States,North America,,2024-01-01,Budget,"9,409.63",USD,Project Aurora
EMEA,Finance,France,Western Europe,,2024-01-01,Budget,"6,722.05",EUR,Project Atlas
AMER,Wholesale,United States,North America,,2024-01-01,Budget,"16,933.24",USD,Project Atlas
APAC,HR,Australia,Oceania,,2024-01-01,Budget,"10,636.26",AUD,Project Nimbus
APAC,IT Services,India,South Asia,EMP00273,2024-01-01,Revenue,"1,544,324.61",INR,Project Falcon
APAC,Retail,India,South Asia,,2024-01-01,Budget,"50,828.24",INR,Project Zenith
APAC,Logistics,Japan,East Asia,EMP00263,2024-01-01,Wages Cost,"376,708.34",JPY,Project Zenith
AMER,IT Services,Mexico,North America,EMP00210,2024-01-01,Revenue,"280,191.60",MXN,Project Nova
APAC,Marketing,India,South Asia,EMP00074,2024-01-01,Revenue,"713,172.86",INR,Project Horizon
AMER,IT Services,Argentina,South America,EMP00098,2024-01-01,Revenue,"16,583,102.83",ARS,Project Atlas
APAC,IT Services,India,South Asia,,2024-01-01,Other Costs,"19,680.91",INR,Project Falcon
EMEA,E-commerce,United Kingdom,Northern Europe,,2024-01-01,Budget,"8,330.72",GBP,Project Vega
AMER,Logistics,Brazil,South America,,2024-01-01,Budget,"2,370.36",BRL,Project Nimbus
APAC,E-commerce,Australia,Oceania,,2024-01-01,Budget,"10,332.76",AUD,Project Vega
EMEA,HR,France,Western Europe,,2024-01-01,Budget,"8,924.14",EUR,Project Aurora
AMER,Logistics,Canada,North America,,2024-01-01,Budget,"7,493.04",CAD,Project Aurora
APAC,Logistics,India,South Asia,EMP00297,2024-01-01,Revenue,"546,821.06",INR,Project Vega
EMEA,Logistics,Netherlands,Western Europe,,2024-01-01,Other Costs,"1,560.28",EUR,Project Falcon
AMER,HR,Mexico,North America,,2024-01-01,Budget,"20,287.26",MXN,Project Orion
APAC,Retail,Australia,Oceania,,2024-01-01,Budget,"7,185.22",AUD,Project Vega
EMEA,Marketing,Italy,Southern Europe,,2024-01-01,Budget,"1,187.17",EUR,Project Nova
AMER,HR,Canada,North America,,2024-01-01,Other Costs,"3,606.52",CAD,Project Orion
APAC,Logistics,China,East Asia,,2024-01-01,Budget,"15,351.49",CNY,Project Titan
EMEA,IT Services,Italy,Southern Europe,,2024-01-01,Budget,"5,385.15",EUR,Project Falcon
EMEA,IT Services,Netherlands,Western Europe,EMP00080,2024-01-01,Revenue,"11,815.77",EUR,Project Nova
APAC,HR,India,South Asia,EMP00132,2024-01-01,Wages Cost,"105,589.30",INR,Project Nimbus
AMER,Finance,Mexico,North America,,2024-01-01,Budget,"57,993.88",MXN,Project Aurora
AMER,Retail,Canada,North America,,2024-01-01,Budget,"7,169.00",CAD,Project Orion
AMER,Wholesale,Brazil,South America,EMP00070,2024-01-01,Wages Cost,"7,794.15",BRL,Project Nimbus
AMER,Retail,United States,North America,EMP00268,2024-01-01,Revenue,"4,975.65",USD,Project Horizon
EMEA,IT Services,Italy,Southern Europe,,2024-01-01,Budget,"6,543.99",EUR,Project Zenith
AMER,Logistics,Mexico,North America,,2024-01-01,Budget,"37,089.87",MXN,Project Zenith
APAC,Logistics,India,South Asia,EMP00191,2024-01-01,Wages Cost,"54,929.35",INR,Project Orion
EMEA,Finance,Germany,Western Europe,,2024-01-01,Budget,"17,490.10",EUR,Project Falcon
AMER,E-commerce,United States,North America,,2024-01-01,Budget,"7,134.61",USD,Project Atlas
EMEA,E-commerce,United Kingdom,Northern Europe,,2024-01-02,Budget,665.45,GBP,Project Titan
AMER,Wholesale,Brazil,South America,EMP00247,2024-01-02,Wages Cost,"8,095.44",BRL,Project Titan
APAC,Retail,Japan,East Asia,EMP00233,2024-01-02,Revenue,"834,102.15",JPY,Project Orion
APAC,Logistics,India,South Asia,,2024-01-02,Budget,"226,370.28",INR,Project Vega
AMER,IT Services,Canada,North America,EMP00049,2024-01-02,Wages Cost,"17,240.12",CAD,Project Vega
EMEA,Retail,Spain,Southern Europe,,2024-01-02,Budget,"2,991.01",EUR,Project Nova
APAC,Logistics,Australia,Oceania,,2024-01-02,Other Costs,"3,983.93",AUD,Project Aurora
EMEA,Finance,Spain,Southern Europe,,2024-01-02,Budget,"3,815.74",EUR,Project Aurora
EMEA,HR,France,Western Europe,,2024-01-02,Other Costs,"2,818.64",EUR,Project Aurora
AMER,Finance,Brazil,South America,,2024-01-02,Budget,"9,675.98",BRL,Project Atlas
