employee_id,Grade,contract_type,date,project,hour_type,hours
EMP00030,Manager,Permanent,2024-01-01,Project Aurora,Non-Billable,96.7
EMP00140,Intern,Permanent,2024-01-01,Project Aurora,Billable,91.2
EMP00017,Analyst,Permanent,2024-01-01,Project Atlas,Non-Billable,167.0
EMP00098,Intern,Fixed-term,2024-01-01,Project Atlas,Billable,111.8
EMP00265,Intern,Permanent,2024-01-01,Project Zenith,Billable,47.6
EMP00105,Junior,Permanent,2024-01-01,Project Aurora,Billable,47.9
EMP00235,Analyst,Fixed-term,2024-01-01,Project Falcon,Billable,51.3
EMP00198,Senior Manager,Freelancer,2024-01-01,Project Atlas,Non-Billable,112.6
EMP00125,Senior Analyst,Fixed-term,2024-01-01,Project Titan,Non-Billable,122.3
EMP00312,Analyst,Fixed-term,2024-01-01,Project Atlas,Billable,106.4
EMP00169,Analyst,Fixed-term,2024-01-01,Project Falcon,Annual Leave,15.6
EMP00210,Director,Fixed-term,2024-01-01,Project Nova,Non-Billable,23.9
EMP00105,Junior,Permanent,2024-01-01,Project Aurora,Non-Billable,123.1
EMP00058,Manager,Freelancer,2024-01-01,Project Zenith,Billable,63.5
EMP00251,Director,Fixed-term,2024-01-01,Project Falcon,Billable,85.6
EMP00298,Junior,Freelancer,2024-01-01,Project Atlas,Billable,50.8
EMP00180,Analyst,Fixed-term,2024-01-01,Project Orion,Non-Billable,107.5
EMP00045,Analyst,Fixed-term,2024-01-01,Project Atlas,Non-Billable,93.2
EMP00337,Senior Manager,Permanent,2024-01-01,Project Falcon,Non-Billable,132.0
EMP00233,Junior,Permanent,2024-01-01,Project Orion,Non-Billable,116.7
EMP00102,Analyst,Contractor,2024-01-01,Project Vega,Non-Billable,99.5
EMP00094,Senior Analyst,Contractor,2024-01-01,Project Vega,Non-Billable,106.7
EMP00145,Junior,Permanent,2024-01-01,Project Atlas,Non-Billable,159.4
EMP00102,Analyst,Contractor,2024-01-01,Project Vega,Billable,34.7
EMP00184,Junior,Permanent,2024-01-01,Project Falcon,Annual Leave,39.9
EMP00055,Senior Manager,Fixed-term,2024-01-01,Project Atlas,Non-Billable,117.8
EMP00056,Analyst,Permanent,2024-01-01,Project Aurora,Billable,63.7
EMP00126,Senior Manager,Part-time,2024-01-01,Project Vega,Non-Billable,37.4
EMP00307,Analyst,Part-time,2024-01-01,Project Horizon,Billable,27.7
EMP00108,Junior,Permanent,2024-01-01,Project Titan,Billable,62.2
EMP00204,Junior,Permanent,2024-01-01,Project Zenith,Non-Billable,92.3
EMP00130,Junior,Permanent,2024-01-01,Project Nova,Billable,50.1
EMP00087,Analyst,Contractor,2024-01-01,Project Atlas,Billable,63.6
EMP00059,Manager,Fixed-term,2024-01-01,Project Titan,Billable,43.2
EMP00142,Analyst,Permanent,2024-01-01,Project Falcon,Billable,77.4
EMP00303,Senior Manager,Permanent,2024-01-01,Project Horizon,Non-Billable,113.2
EMP00134,Analyst,Permanent,2024-01-01,Project Orion,Non-Billable,128.0
